current_airport,destination_airport,flight_no,departure_time,arrival_time,transit_airport,cost,cargo_available,cold_storage_available,cold_storage_cost,delay_risk,notes,status
FRA,SIN,LH778,Every 12h (10:30/22:30 UTC),12h45m,,4200,true,true,85,low,Direct Lufthansa Cargo P1 pharma priority lane IATA CEIV certified,available
FRA,SIN,EK9212,Every 24h (15:00 UTC),14h30m,DXB,3800,true,true,75,medium,Emirates SkyCargo via Dubai 90min cold-chain transfer GDP compliant handler,available
FRA,HKG,LH8400,Twice daily (09:00/21:00 UTC),11h20m,,3600,true,true,80,low,Direct Lufthansa Cargo dedicated pharma freighter IATA CEIV Pharma,available
FRA,NRT,LH8100,Once daily (11:00 UTC),12h00m,,4800,true,true,90,low,Direct Frankfurt-Tokyo Lufthansa P1 pharma temperature-controlled ULD,available
FRA,JFK,LH8900,Twice daily (08:00/18:00 UTC),8h30m,,3200,true,true,70,low,Direct transatlantic FAA-compliant pharma GDP certified,available
FRA,LHR,LH4400,Every 2h (06:00-22:00 UTC),1h45m,,800,true,true,60,low,Short-haul shuttle frequent departures Heathrow World Cargo Centre,available
FRA,DXB,LH8200,Twice daily (09:30/22:00 UTC),6h00m,,2100,true,true,78,low,Direct Frankfurt-Dubai Emirates partnership Pharma Hub at DXB,available
FRA,BOM,LH8050,Once daily (22:00 UTC),8h45m,,3100,true,true,72,medium,Direct to Mumbai overnight freighter BOM pharma SEZ handling,available
FRA,SYD,LH8700,Once daily (21:30 UTC),22h00m,SIN,6800,true,true,95,medium,Via Singapore 2h transfer SIN coolant replenishment at SIN,available
FRA,ICN,LH8300,Once daily (14:00 UTC),11h00m,,4500,true,true,85,low,Direct Frankfurt-Seoul Korean Air partnership Incheon pharma hub,available
FRA,GRU,LH8600,Once daily (21:00 UTC),13h00m,,4900,true,false,0,high,Direct to Sao Paulo limited cold chain at GRU dry ice only,limited
FRA,AMS,LH4100,Every 90min,1h00m,,600,true,true,55,low,Shuttle to Schiphol AMS Pharma Hub full CEIV certified cold chain,available
FRA,CDG,LH4200,Every 2h,1h15m,,650,true,true,57,low,Frankfurt-Paris shuttle Air France partnership CDG pharma zone,available
FRA,NBO,LH8050,Once daily (20:00 UTC),8h00m,,3400,true,true,68,medium,Frankfurt-Nairobi overnight IATA DGR compliant,available
FRA,JNB,LH8075,Once daily (21:30 UTC),10h30m,,4100,true,true,72,medium,Frankfurt-Johannesburg direct pharma cargo GDP compliant,available
FRA,CAI,LH8020,Twice daily,4h30m,,1800,true,true,65,low,Frankfurt-Cairo EgyptAir partnership hub for Africa connections,available
FRA,DOH,LH8030,Twice daily (10:00/22:00 UTC),5h00m,,1900,true,true,70,low,Frankfurt-Doha QR partnership Hamad pharma hub,available
FRA,IST,LH4300,Every 4h,3h30m,,1400,true,true,68,low,Frankfurt-Istanbul Turkish Cargo partnership,available
FRA,DEL,LH8060,Once daily (23:00 UTC),8h00m,,3000,true,true,75,medium,Frankfurt-Delhi overnight GDP compliant cold chain,available
FRA,PVG,LH8380,Once daily (13:00 UTC),10h30m,,3900,true,true,82,low,Frankfurt-Shanghai direct pharma freighter,available
AMS,SIN,KL886,Once daily (11:30 UTC),13h00m,,4400,true,true,82,low,Direct KLM Cargo IATA CEIV Pharma GDP-compliant P1 handling,available
AMS,JFK,KL6020,Twice daily (09:00/15:00 UTC),7h30m,,3000,true,true,68,low,Direct transatlantic JFK cargo centre pharma zone,available
AMS,NRT,KL862,Once daily (10:00 UTC),11h45m,,4700,true,true,88,low,Direct Amsterdam-Tokyo KLM pharma certified ULD temperature monitoring,available
AMS,HKG,KL888,Once daily (22:30 UTC),11h30m,,3900,true,true,78,low,Overnight freighter Cathay Pacific partnership at HKG,available
AMS,DXB,EK9100,Twice daily (08:00/20:00 UTC),7h00m,,2400,true,true,76,low,Emirates SkyCargo DXB Pharma Hub 1h ground transfer,available
AMS,LHR,KL4100,Every 2h,1h15m,,750,true,true,58,low,Shuttle flights Heathrow pharma CEIV zone,available
AMS,SYD,KL4780,Once daily (22:00 UTC),21h30m,SIN,7200,true,true,92,medium,Via Singapore 2h45m layover coolant top-up SIN,available
AMS,GRU,KL706,Once daily (14:30 UTC),12h15m,,4800,true,false,0,medium,Direct no dedicated cold chain at GRU dry ice 48h advance,limited
AMS,FRA,KL4300,Every 90min,1h00m,,600,true,true,55,low,Shuttle to Frankfurt CEIV Pharma hub full cold chain,available
AMS,ICN,KL856,Once daily (11:00 UTC),11h30m,,4600,true,true,84,low,Amsterdam-Seoul direct KLM cargo pharma certified,available
AMS,BOM,KL870,Once daily (21:00 UTC),9h00m,,3300,true,true,74,medium,Amsterdam-Mumbai direct GDP compliant cold chain,available
AMS,NBO,KL565,Once daily (23:00 UTC),8h30m,,3200,true,true,70,medium,Amsterdam-Nairobi overnight UNICEF supply chain certified,available
AMS,JNB,KL592,Once daily (22:30 UTC),11h00m,,4000,true,true,72,medium,Amsterdam-Johannesburg direct pharma cargo,available
AMS,CAI,KL550,Twice daily,4h45m,,1900,true,true,65,low,Amsterdam-Cairo partner hub for ME-Africa connections,available
AMS,DOH,KL380,Twice daily (09:00/21:00 UTC),5h30m,,2100,true,true,72,low,Amsterdam-Doha QR partnership,available
AMS,DEL,KL872,Once daily (22:30 UTC),8h30m,,3200,true,true,76,medium,Amsterdam-Delhi overnight GDP compliant,available
DXB,SIN,EK9354,Multiple daily (every 6h),7h30m,,2800,true,true,80,low,Emirates SkyCargo express SIN Coolport IATA CEIV Pharma,available
DXB,HKG,EK9200,Every 8h,8h00m,,2600,true,true,75,low,Emirates SkyCargo HKG Hactl pharma cold chain,available
DXB,NRT,EK9340,Twice daily (10:00/22:00 UTC),9h30m,,3800,true,true,85,low,Emirates to Narita temperature-controlled freighter Japanese customs priority,available
DXB,BOM,EK9410,Every 4h,3h00m,,900,true,true,65,low,Short-haul multiple frequencies BOM SEZ pharma hub,available
DXB,LHR,EK9600,Every 6h,7h15m,,2500,true,true,72,low,Dubai-London freighter Heathrow World Cargo Centre,available
DXB,FRA,EK9700,Every 8h,6h30m,,2200,true,true,70,low,Dubai-Frankfurt Lufthansa partnership GDP certified,available
DXB,JFK,EK9800,Once daily (01:00 UTC),14h00m,,4200,true,true,80,medium,Overnight transatlantic JFK pharma cold chain zone,available
DXB,SYD,EK9900,Twice daily (02:00/14:00 UTC),14h00m,,5800,true,true,90,low,Direct Dubai-Sydney end-to-end cold chain Australian TGA handling,available
DXB,ICN,EK9500,Once daily (03:00 UTC),9h00m,,3500,true,true,82,low,Dubai-Seoul Korean pharma import fast-track,available
DXB,GRU,EK9250,Once daily (23:30 UTC),17h30m,,6500,true,false,0,high,Long-haul limited cold storage GRU requires advance dry ice,limited
DXB,AMS,EK9710,Twice daily (06:00/18:00 UTC),7h00m,,2400,true,true,76,low,Dubai-Amsterdam KLM partnership Schiphol pharma hub,available
DXB,CDG,EK9720,Twice daily (07:00/19:00 UTC),7h30m,,2600,true,true,74,low,Dubai-Paris CDG pharma zone Air France partnership,available
DXB,NBO,EK9730,Twice daily (05:00/17:00 UTC),4h30m,,1500,true,true,68,low,Dubai-Nairobi East Africa pharma hub connections,available
DXB,JNB,EK9740,Once daily (03:00 UTC),8h00m,,3000,true,true,70,medium,Dubai-Johannesburg direct SA pharma GDP,available
DXB,CAI,EK9750,Every 4h,2h30m,,800,true,true,62,low,Dubai-Cairo very high frequency short-haul,available
DXB,DOH,EK9760,Every 3h,1h00m,,400,true,true,58,low,Dubai-Doha shuttle QR partnership onward connections,available
DXB,IST,EK9770,Every 6h,4h30m,,1700,true,true,68,low,Dubai-Istanbul Turkish Cargo partnership,available
DXB,DEL,EK9780,Every 4h,3h30m,,1100,true,true,67,low,Dubai-Delhi Air India partnership GDP compliant,available
DXB,PVG,EK9790,Once daily (02:00 UTC),8h00m,,3100,true,true,78,low,Dubai-Shanghai direct pharma freighter,available
SIN,SYD,SQ7440,Every 4h,7h45m,,2800,true,true,78,low,Singapore-Sydney IATA CEIV Pharma Australian TGA pre-clearance,available
SIN,HKG,SQ7200,Every 3h,3h30m,,1200,true,true,72,low,Short hop high frequency HKG Hactl GDP cold chain,available
SIN,NRT,SQ7340,Twice daily (08:00/20:00 UTC),7h00m,,3200,true,true,85,low,Singapore-Tokyo JAL partnership Narita pharma cold chain,available
SIN,ICN,SQ7420,Twice daily (07:00/19:00 UTC),6h30m,,2800,true,true,80,low,Singapore-Seoul temperature-controlled ULD,available
SIN,JFK,SQ8000,Once daily (00:30 UTC),19h00m,,7200,true,true,92,medium,Ultra-long-haul coolant replenishment en route JFK pharma cold chain,available
SIN,LHR,SQ7330,Once daily (23:45 UTC),14h00m,,5200,true,true,88,low,Singapore-London overnight GDP compliant Heathrow pharma CEIV,available
SIN,FRA,SQ7310,Once daily (22:00 UTC),13h30m,,4800,true,true,85,low,Singapore-Frankfurt Lufthansa partnership,available
SIN,BOM,SQ7410,Twice daily (06:00/18:00 UTC),5h00m,,1800,true,true,68,low,Singapore-Mumbai short-haul BOM cold chain,available
SIN,DXB,SQ7380,Every 6h,6h30m,,2500,true,true,78,low,Singapore-Dubai Emirates partnership DXB Pharma Hub,available
SIN,AMS,SQ7320,Once daily (23:30 UTC),13h00m,,4600,true,true,84,low,Singapore-Amsterdam KLM partnership Schiphol pharma hub,available
SIN,GRU,SQ7500,Once daily (21:00 UTC),23h30m,JFK,8800,true,false,0,high,Via New York very long-haul GRU no cold chain advance dry ice,limited
SIN,CAI,SQ7350,Once daily (01:00 UTC),9h00m,,3200,true,true,70,medium,Singapore-Cairo EgyptAir partnership,available
SIN,NBO,SQ7360,Once daily (02:00 UTC),9h30m,,3400,true,true,72,medium,Singapore-Nairobi East Africa hub,available
SIN,DEL,SQ7390,Twice daily (06:00/18:00 UTC),4h30m,,1700,true,true,72,low,Singapore-Delhi Air India partnership GDP compliant,available
SIN,PVG,SQ7250,Every 4h,4h00m,,1600,true,true,74,low,Singapore-Shanghai direct high frequency,available
HKG,SYD,CX7120,Twice daily (09:00/21:00 UTC),9h30m,,3400,true,true,82,low,Cathay Pacific Cargo dedicated pharma freighter TGA customs,available
HKG,NRT,CX7220,Every 4h,4h00m,,1800,true,true,78,low,Short-haul HKG-NRT high frequency Narita cold chain hub,available
HKG,SIN,CX7140,Every 3h,3h45m,,1400,true,true,75,low,High frequency shuttle SIN Coolport pharma zone,available
HKG,JFK,CX7400,Once daily (01:00 UTC),16h00m,,5800,true,true,90,medium,Overnight to New York dedicated cold chain freighter,available
